|                                                      filename |                author | commits |  last date |
|                            scipy/interpolate/fitpack/fprati.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpregr.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fprota.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fprppo.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fprpsp.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpseno.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpspgr.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpsuev.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpsysy.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fptrnp.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/insert.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/parcur.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/parder.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/parsur.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/percur.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/pogrid.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/profil.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/regrid.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/spalde.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/spgrid.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/splint.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/sproot.f |        Jarrod Millman |       1 | 2007-08-21 |
|                             scipy/interpolate/fitpack/surev.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/surfit.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                        scipy/linalg/src/det.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                         scipy/linalg/src/lu.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                     scipy/odr/odrpack/d_lpk.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/odr/odrpack/d_mprec.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                     scipy/odr/odrpack/d_odr.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/odr/odrpack/dlunoc.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                scipy/optimize/cobyla/trstlp.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/optimize/minpack/chkder.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/optimize/minpack/dogleg.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/optimize/minpack/dpmpar.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                scipy/optimize/minpack/enorm.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/optimize/minpack/fdjac1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/optimize/minpack/fdjac2.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                scipy/optimize/minpack/hybrd.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/optimize/minpack/hybrd1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                scipy/optimize/minpack/hybrj.f |        Jarrod Millman |       1 | 2007-08-21 |
